Device: DDS120
State: Playing
Type: Live
Sample rate:   2.4M sps

Channel 0    Channel1
-0,091,              -0,02
-0,091,              -0,02
-0,091,              -0,02
-0,091,              -0,015
-0,086,              -0,015
-0,086,              -0,01
-0,082,              -0,02
-0,091,              -0,02
-0,091,              -0,015
-0,086,              -0,02
-0,091,              -0,015
-0,086,              -0,015
-0,086,              -0,015
-0,086,              -0,015
-0,086,              -0,02
-0,091,              -0,015
-0,086,              -0,02
-0,091,              -0,015
-0,086,              -0,02
-0,091,              -0,015
-0,086,              -0,02
-0,091,              -0,015
-0,086,              -0,02
-0,091,              -0,015
-0,086,              -0,015
-0,086,              -0,02
-0,091,              -0,015
-0,086,              -0,02
-0,091,              -0,015
-0,086,              -0,02
-0,091,              -0,015
-0,086,              -0,02
-0,091,              -0,015
-0,086,              -0,02
-0,091,              -0,015
-0,086,              -0,015
-0,086,              -0,02
-0,091,              -0,015
-0,086,              -0,015
-0,086,              -0,02
-0,091,              -0,02
-0,091,              -0,015
-0,086,              -0,02
-0,091,              -0,015
-0,086,              -0,015
-0,086,              -0,02
-0,091,              -0,015
-0,086,              -0,015
-0,086,              -0,02
-0,091,              -0,02
-0,091,              -0,015
-0,086,              -0,02
-0,091,              -0,015
-0,086,              -0,015
-0,086,              -0,015
-0,086,              -0,015
-0,086,              -0,015
-0,086,              -0,015
-0,086,              -0,015
-0,086,              -0,02
-0,091,              -0,015
-0,086,              -0,015
-0,086,              -0,02
-0,091,              -0,02
-0,091,              -0,015
-0,086,              -0,015
-0,086,              -0,02
-0,091,              -0,015
-0,086,              -0,015
